frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2
0.0,-21.702432587078405,-19.700770153268007,-19.499789788432523,-18.32583916705117,-21.828582385482083,-18.83460531578984,-17.672573445992125,-18.110541483064917,-19.1612761157296,-16.931435979326178,-17.235350249044153,-18.47965231225115,-18.780392796847266,-18.514967869780758,-23.562824082680947,-18.41845991320082,-17.337199452177746,-17.77980231297116,-20.624387392636645,-24.174628235553662,-22.8849618799594,-17.603483954670804
0.11170688114387846,-17.74846447979921,-19.712361356268463,-17.99332480389491,-17.703417779438368,-18.192604177187313,-17.420227897278632,-16.397616450016724,-17.66699688282082,-15.927865060430221,-16.654575801109466,-17.953248574439232,-17.200386452781316,-17.16800233117694,-15.551416234341776,-18.263413298899398,-18.79407179179471,-18.072957178416708,-17.45012888650663,-15.727306956786313,-18.56336208364727,-17.648352173423838,-15.06576180742724
0.22341376228775692,-16.76544055532524,-16.74516198890885,-16.40680176782939,-15.02163690311979,-16.97795514538012,-15.301899301796043,-14.052835812269752,-14.083568785869415,-15.79542293014814,-15.816362155634646,-16.71679416805537,-14.881869251270086,-15.892886631146128,-13.043096465634706,-15.74849343636023,-16.747367405935535,-16.31784616878486,-14.28310542038051,-15.472050720101398,-16.06011235985898,-15.833017295752782,-13.083997380435946
0.3351206434316354,-14.003453951094993,-15.400147576644375,-15.068672384551173,-13.336682868400395,-15.009243632821713,-12.69063739443275,-12.636264457632423,-13.37735357808113,-14.408168504640784,-14.512317750137234,-14.479566047138459,-13.41886037370277,-13.66838860486101,-13.176343407879605,-15.484187336439408,-14.240649916005614,-14.92905422809969,-13.438707998087244,-14.038058559895717,-14.620732325281889,-14.886550025457817,-13.237308118241437
0.44682752457551383,-12.836486977643904,-14.568773641559828,-13.258255925852003,-11.453539303685362,-14.552080173115115,-14.431165397668773,-11.102010396111304,-11.815688477309175,-13.738159339330537,-13.581418470126959,-13.794886829834505,-11.532452855366845,-13.878535054580883,-11.891319851139395,-12.866221039570686,-14.83122291267628,-15.975399021989457,-11.81319373576386,-13.346644443794373,-13.22062922115776,-12.498990467873883,-11.839703789075367
0.5585344057193923,-14.044092244282302,-14.063927952517583,-13.608843791402805,-11.124569590177057,-13.18728908348926,-12.803685152403842,-11.02039784432863,-9.3519523273605,-13.77955786428247,-13.417495413485081,-13.649762173326895,-12.323402947799526,-11.452868826535171,-11.823548587421778,-11.807596928275046,-13.667451090278742,-14.410910629157836,-11.199766893844933,-11.109866081263707,-12.65725150728206,-12.93535136627776,-10.950423323719328
0.6702412868632708,-12.420382452855412,-14.13031597490964,-12.671199463652224,-11.467769346005708,-13.561625831173815,-12.992936537039524,-12.472603767078366,-11.09934012200243,-12.539116832130436,-11.600487924894074,-11.87979034987003,-12.712363645639616,-12.473175709337843,-13.214604692350285,-13.174650171769732,-12.444899284595518,-12.525274199703107,-10.425206016111396,-13.361791963739527,-12.37192877622666,-12.248652635571679,-11.092184772085682
0.7819481680071492,-12.482827844753006,-13.538187619818872,-12.91402452077107,-12.101768983120493,-11.24361234932038,-12.248956285167342,-11.323640165187767,-8.470412982387215,-12.0325348357297,-12.352796430908953,-12.979423018222553,-10.778223913345247,-12.570938163244158,-11.324977176863522,-11.843875302155904,-11.992958632885484,-13.242604041459206,-11.186939233470344,-12.111224830171512,-11.903803653699255,-12.749078895115215,-10.142335257097855
0.8936550491510277,-12.37988919650765,-12.887048593837035,-10.261426548756777,-9.97442697525483,-11.50441339712008,-13.261646782695667,-10.298847467923494,-8.349616669694669,-10.691413860599472,-11.564858395740652,-11.398427772991523,-10.49035267728113,-11.279473333334014,-11.687642906306289,-12.270867185408253,-13.382910149457347,-12.371614122553577,-9.315843450136443,-11.038253024467206,-11.42180677454064,-11.977675095301302,-8.685042479744858
1.0053619302949062,-12.65615607284289,-11.490613284594074,-12.014403815060431,-11.34929029946082,-12.859612361990527,-12.653534771467337,-10.206028579775252,-9.535420638564164,-12.528589232711104,-12.294992923618125,-12.19005642463444,-10.916915998457393,-12.60869972184951,-13.226208618395676,-13.144159823112924,-12.303393406677639,-11.402739720671631,-11.47341221601068,-11.879541733204373,-12.22237190032032,-10.58476664008852,-10.201080018424062
1.1170688114387846,-11.605858802835147,-13.600100721122375,-12.18519590839858,-11.780603546810918,-10.849563981437575,-12.837943602322001,-10.54608412706952,-9.652617195469881,-13.651166227191016,-12.107403714243713,-11.908034581311531,-10.85025533387081,-12.32696658264195,-12.731429188978183,-11.04493924511309,-11.782178890509547,-12.373712119243836,-11.126637632142078,-11.121573958257894,-11.191626715713586,-11.795595057631681,-10.264563613563078
1.228775692582663,-10.77866221331099,-13.267781018216592,-12.411405964550456,-10.419882394584526,-12.394264363003963,-13.046963384725586,-11.229466376725968,-11.017214456312312,-12.946571944138842,-11.311138572319248,-13.402151868498226,-10.688990933023227,-10.911608266177922,-13.605530807064651,-11.104614805655062,-12.407390290202715,-13.330123104969601,-11.642105532652462,-11.27599801247422,-12.071417780064696,-10.514256980823156,-9.362876608448005
1.3404825737265416,-10.416842050088473,-11.708707720440573,-11.232639843533795,-10.49268420916885,-11.347527190327822,-10.797815852067998,-10.639282381412361,-9.102249363496693,-12.494331978834799,-12.066765496512268,-12.437537717673774,-11.236324469237482,-10.068495301307538,-12.114307838934378,-11.293330145152662,-12.330760053759652,-12.586583540870862,-11.47997539070114,-11.078080759375858,-11.361014790709453,-10.526073633844842,-10.003356214494152
1.45218945487042,-10.758006628297242,-11.372245324001963,-10.964689431201384,-10.57212099290219,-11.404399597169016,-12.567538460069496,-11.689763176306453,-8.908522210551359,-11.725427888119592,-11.870183415744822,-13.039379101815268,-11.126173549227335,-10.453137444038822,-13.103729977911627,-11.261915992046672,-11.77527792925912,-12.476330325936459,-9.199566079840581,-12.387078724724752,-11.672000822914649,-9.77032614793305,-10.823705753642168
1.5638963360142983,-12.69871279797625,-11.125476189143273,-11.639338512393326,-10.875826360751924,-11.407509834565028,-11.836812582066813,-11.075123081480223,-9.105026410323324,-11.421120885349774,-13.184460152375198,-12.974262050003569,-11.436444355729007,-11.1670221253091,-11.972856271401014,-11.582943725861124,-10.574043301726693,-10.184837306876956,-11.390478251625284,-10.099038629145948,-11.439525892459265,-9.072910984676087,-8.767564731113763
1.675603217158177,-10.737331230266669,-11.02525826700345,-11.01787486340898,-10.3740653608133,-10.390073876861992,-11.22846195937773,-10.576088166810822,-11.084295427901623,-12.640990595933904,-13.099042161254028,-12.293101391877636,-10.01941885507456,-11.41353158321191,-12.11750715452639,-10.790994090727207,-11.356481944086996,-10.335817415785492,-10.83013444778853,-10.210457321733767,-9.920815646919594,-11.979984055780381,-10.67404173949208
1.7873100983020553,-10.48274368580133,-12.127457267362383,-10.069666903677732,-9.782722464419363,-9.426141012837858,-10.435179501048514,-10.654947689528022,-10.127206480290596,-11.844788317903987,-11.607155232672492,-13.061426747362992,-11.205992701142053,-10.905829215263784,-10.89519876162907,-10.223812494135124,-11.840633645841036,-11.390737619042136,-11.144295297580657,-9.258852254097214,-10.990735795045577,-9.895415072782797,-10.06975268995275
1.8990169794459337,-11.062697968457003,-12.121209315473246,-10.390890068776772,-10.346167683518408,-10.020460084448318,-11.405414251029828,-11.004244896284003,-10.728664537730362,-12.663034754567763,-12.282732106774034,-12.329525956936365,-10.049406144382393,-11.431726711810676,-12.571309496771871,-10.680158369422346,-11.645315201798962,-10.73417684774212,-10.8749089324382,-11.57870794952362,-10.662094730537397,-10.766280897348715,-10.604594322839759
2.0107238605898123,-11.934044117053373,-11.813074862233028,-12.172927046270587,-11.1224363842709,-10.97044127841783,-11.747695051564925,-11.430847275342048,-9.234919934260647,-13.978470879311653,-14.034856215931114,-13.504309161678927,-10.820511197374632,-11.817978464077992,-12.293926981230852,-10.485817016246276,-12.154191105317635,-12.240600438398761,-11.79880944329545,-10.828422607537862,-12.094586493512436,-10.36907869830795,-11.118197537250989
2.1224307417336905,-11.053520749527253,-11.538993591309868,-12.559213601384183,-9.570766954461332,-9.826364464436729,-12.189592933103025,-10.215302397252891,-11.679190047402123,-13.53779658871979,-13.301807356231814,-12.528026888348222,-11.091705731663406,-10.081792564935457,-12.567209575261634,-11.225515968326501,-12.144306089411424,-11.547243194841291,-11.434515543645524,-11.44570238619743,-11.34061010244285,-10.95642989720867,-12.24820859909379
2.234137622877569,-10.284764488415485,-11.249362202141196,-12.148023964479805,-10.532687672813706,-9.79229731679544,-11.090010725468362,-12.520969311342602,-10.505977529386064,-13.323995149163135,-13.097613125414878,-10.453002762526882,-10.409884247316421,-10.708407258469187,-13.127684066534373,-10.571512098000714,-10.586661965035534,-12.224597099044221,-11.020152829316539,-10.261205371012512,-11.242429852655865,-11.322880415875266,-11.105546309363925
2.3458445040214477,-11.125445992144746,-11.441391319248952,-11.65382159574114,-11.23351047955041,-8.917859754374808,-12.098911136779057,-11.193102232850606,-10.264378914471216,-14.787645362673604,-12.961795968874114,-12.27402168956758,-12.543005307577971,-11.751759051554012,-12.159188209880298,-10.182073309271452,-11.374344916468454,-13.37274039834139,-10.778960228219036,-10.46325833067863,-12.273212498784899,-9.87822856469013,-11.024464178973895
2.457551385165326,-13.162624844200705,-11.771149491749265,-12.867688294793282,-10.760618807953525,-11.012625562716952,-13.03516548756949,-12.369907586278002,-9.890552542929514,-13.807054217671583,-14.353366787487753,-13.7766043185715,-11.10278696753074,-12.016659295731184,-13.010870902639509,-11.02096255832716,-11.745714294944488,-13.09251955144338,-10.935050968762827,-11.282715434160977,-13.126867375696229,-11.933262652143892,-11.705330932103115
2.5692582663092045,-10.509240588900656,-11.93519834328639,-12.066974025565269,-10.492321150504319,-11.765486938829405,-13.05997786253514,-12.331688694427811,-11.29897131077934,-15.121160005702345,-14.060007165544723,-14.182099074819543,-12.192134129487105,-12.952270107869452,-12.437533280301942,-10.847803455559056,-10.903072354214336,-13.24716471285639,-10.83041522621126,-12.839819933033441,-11.198236763377828,-11.401179490286623,-11.060388319204714
2.680965147453083,-11.207341054876034,-11.774388902398549,-11.396036875272681,-11.912864841702394,-10.486296609417508,-11.369992783443301,-10.586322440169239,-10.128250177106732,-14.579674928744566,-12.576034009182635,-12.684718103766624,-11.466357145778614,-11.814264101010842,-10.966867516926657,-11.622540876279173,-12.159914588498465,-11.461816097429507,-11.540511067214123,-12.358864773036506,-12.459652468503927,-10.805100676730703,-11.051167337985925
2.7926720285969613,-12.237663502415595,-11.264332965641305,-12.99769657618628,-10.751503211954697,-11.003294092126385,-12.913202980748544,-11.190393263357466,-10.223745230495972,-13.434079180027894,-14.149313336122816,-14.232741079000789,-12.567597444746385,-11.966880652766188,-11.705676705852465,-11.254223863413607,-10.86992847475208,-12.30897596465103,-11.059495033723504,-12.172623519273843,-11.452494962943332,-10.210938657192974,-11.311093332382908
2.90437890974084,-11.292992661405984,-10.966696609049775,-11.226992386147874,-9.281252292428158,-10.475349932446436,-12.405934059358978,-11.97550991967178,-9.856675573729028,-13.679630689988556,-14.686714833982112,-15.051083711781928,-12.731781592299358,-12.352149968611693,-12.262378141669068,-11.39400013389639,-11.684795163297952,-12.747250546500585,-10.778176363428074,-11.213021339192993,-12.55613617878618,-11.004598453043231,-12.206204868816474
3.0160857908847185,-9.891027648758937,-13.224007144027624,-13.017094075334239,-9.892310384568958,-11.057748352063685,-11.988855718843483,-10.162299051587802,-9.555300034497987,-14.921693017443065,-13.307364242688053,-13.708191251176952,-12.284967079898024,-12.105491479313475,-11.910316620554084,-10.241269694216026,-13.050668530765444,-13.842608891242376,-11.546113618679804,-11.433663054590669,-12.442682842910871,-10.440284865609607,-11.48553792134721
3.1277926720285967,-11.836447151141243,-13.687505533514713,-11.220974728120073,-11.809497467871916,-11.264957207438837,-12.924468983397897,-11.372051479188654,-10.962072268447267,-14.57724221184922,-13.686625172383179,-13.808728192105946,-13.301935481326872,-11.4647799698835,-13.302965053431363,-12.43385836620774,-13.414088618973327,-13.082813582339377,-11.74331780099118,-11.410976652703644,-10.923541529623863,-12.245893333420343,-12.04143868954167
3.2394995531724753,-12.164817384643797,-12.615865207905816,-11.758592374692796,-11.18807641836785,-11.42528023656194,-12.487048950214302,-11.211189464122189,-10.084596757289981,-15.76228662097363,-14.633317760645426,-13.01928479461941,-12.975718242015457,-11.657066552060913,-13.30902423991376,-12.487940724147448,-12.39818766413731,-12.621395641678413,-11.610493242683825,-12.654289767996415,-12.379523588175708,-12.264245167739075,-10.79963895175102
3.351206434316354,-11.364010214951925,-12.976049610863685,-13.08283186679341,-10.259854071853097,-10.922267988355149,-13.877577184113523,-13.45119412745486,-11.416679399572079,-15.31941759819622,-14.592241186536143,-12.653574935534019,-13.084152384081673,-11.55037704243888,-13.396389536732535,-12.706736726337436,-13.338331219275327,-12.478860930848663,-10.715263652968455,-11.633866873525943,-12.58719657475943,-11.566886963782448,-11.710639282596437
3.462913315460232,-11.933349157195824,-12.114968408925272,-11.340145743953405,-12.097721884853103,-11.61098937107316,-11.511813709975325,-11.520911373297947,-12.27627510491297,-15.607484468809881,-14.449896890189649,-12.97181552928106,-12.534979125078397,-11.075365161594101,-14.630956751473912,-11.848038741177806,-11.7513468813124,-12.452807142610075,-13.84082135753246,-12.195394555093335,-11.525975252548832,-12.369655408014566,-10.956888871327678
3.5746201966041107,-10.700111627605569,-10.492539836896167,-10.657350005223241,-10.803724861708119,-11.471733578603367,-11.50508838065187,-11.469418736610331,-11.34145774572419,-15.294271926024319,-13.568377659580992,-12.716696687189875,-10.86933643044821,-10.49731369440625,-12.04298909219506,-11.490058459345583,-13.60494905243274,-12.994429345667818,-11.89442547378366,-11.395937585523592,-11.197841168231642,-10.040448527100533,-11.315604571651537
3.6863270777479893,-11.627766879236283,-13.482324231006,-13.406716375221961,-14.337291113560578,-10.358594575780561,-13.415242903027329,-12.987171890009222,-10.886246310736436,-15.64436370834036,-14.882895038647522,-13.935365098576947,-13.686295388966311,-13.53433691933412,-15.024677082452321,-12.343371269283463,-11.839835206360245,-14.49528820092626,-13.655668308647073,-12.073112911321722,-12.406165009679503,-11.504747874393109,-11.104913751718708
3.7980339588918675,-14.126410534351932,-12.136829652339085,-12.072039527856013,-12.343036181223182,-11.206833574948652,-12.985400075344312,-11.343635589373955,-11.557146476795568,-15.658649604059638,-14.900522381205594,-12.864320260593294,-12.951940119628965,-12.375031170901062,-13.371719710474329,-11.66998439519022,-12.244719842303079,-12.14889246211819,-13.057038569755996,-10.405234002713842,-14.208880557646713,-12.171015461023401,-11.607546061216997
3.909740840035746,-11.463886997752802,-11.497778364264835,-12.0884413703062,-12.320630539433528,-10.372133106391136,-11.998457889795649,-12.42648886649159,-10.868329596852227,-15.917137367154783,-13.056698757787592,-12.856296567050004,-11.758837174985363,-12.679173260111735,-13.495973723232723,-10.64250275047557,-11.597305774347705,-13.720574129451077,-12.426883001413577,-10.667655911103394,-13.604012825623585,-11.323518233828972,-11.29926561797606
