frequency_hz,F7-T3,T3-T5,T5-O1,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,P4-O2,FP1-F7,FP2-F8,FP1-F3,FP2-F4,F4-C4,C4-P4,F3-C3,C3-P3,P3-O1
0.0,-6.5332382139754825,-7.150537461753483,-7.298777797532431,-6.326655813836667,-7.17913058549772,-10.014257126210149,-7.938038820486208,-5.756844695179956,-6.6320318703661565,-7.144846502477315,-7.363646545792515,-7.407233972989131,-7.787615110939251,-6.790127902034001,-6.702758119223879,-6.1753326423474055,-6.547775626809819,-6.883132815535553,-8.242297844339628,-4.99192755735591,-8.096385081239262,-6.933412674638119
0.5,-4.808529184234978,-4.808088302859287,-4.239168634519613,-4.760977889686149,-5.127621637290491,-4.093982986916468,-7.165906815916985,-5.5540998420131205,-5.043958680275935,-4.527933970097906,-5.005667686098273,-5.619952931859655,-5.050466034397602,-5.102264418190946,-5.121760527616748,-5.469770804018296,-4.401354025229838,-4.762971551814229,-4.67416803377516,-4.7146985824613274,-5.034462083554069,-4.598971728664924
1.0,-8.952278944542133,-8.26370770845023,-9.46055451558945,-9.133965405983524,-9.789693532321923,-8.875473361884207,-11.389657025509571,-9.183841207431154,-10.130303131701025,-8.905571993732236,-9.07961560698921,-9.766355127674654,-9.758710752195,-9.721727700052815,-9.369601619749826,-9.41779535920355,-9.03561697155471,-8.156489780772326,-8.142036612671848,-8.235575475570574,-8.69582920838065,-8.89749445069744
1.5,-12.382161150584292,-11.243529073644856,-12.56243728581389,-12.785318932104396,-12.346316419904284,-12.551490762068722,-13.833857345414238,-12.145493095791187,-12.404169681373716,-11.42151848205747,-12.01036984918366,-12.729835267877098,-13.134976640287338,-12.33051670010754,-12.807146808512881,-11.859921799211445,-11.724939465162024,-10.308819394387573,-11.137683425897908,-11.524891995623701,-11.071828798479562,-12.40875247391617
2.0,-16.073937153419156,-14.491173968452006,-16.244372969200672,-15.669356087079112,-15.647957503290908,-14.952960638123704,-16.18296389702455,-15.48914641727893,-15.495583965201194,-14.464940300887285,-14.696262664461534,-15.66888505118022,-16.11464550832787,-14.97399902670026,-16.537400416001926,-15.23595050275866,-15.30474378987482,-13.66312625263591,-14.386587539310913,-14.369314774086572,-14.178680713650396,-15.30143509550611
2.5,-18.267472237172484,-16.75469842916281,-18.4057624562242,-17.671087812153655,-17.350580177234775,-17.354702668827237,-18.138874442735872,-16.84983406773452,-17.41725044764572,-16.935210371598213,-16.662734499264452,-17.061862961695567,-18.24058091239187,-16.51439566087038,-17.832487636361787,-16.736189089809866,-16.92645053447869,-16.021215255245405,-16.25185794828648,-16.1568554863665,-16.50199577950912,-17.495743104610888
3.0,-19.969450454757748,-18.069086692957512,-19.65299295023018,-19.685034216471962,-19.89394808884301,-19.195591532090532,-19.652106681654253,-18.625133814910793,-18.952558378463177,-18.293153317157444,-18.750041270837915,-19.573535648584723,-19.41143427079325,-17.172680813440348,-20.322202514352764,-18.35156976431466,-18.86363807895496,-17.448864942520583,-18.343041140914977,-18.65467152268513,-17.963324031222644,-19.27567639007168
3.5,-20.669305290337068,-19.70970524043231,-21.811623834548655,-20.804471650455138,-21.29620327042749,-21.249574973533,-21.227783724396556,-19.71938859656741,-19.618094321312523,-19.634363136245874,-20.39884206014007,-21.106830021649355,-21.692021683676924,-19.27537268814022,-21.11174887331791,-19.94819526059127,-19.502713967970625,-18.350960027488927,-20.18780848287316,-19.05547948654118,-19.87833687058241,-20.594668996092174
4.0,-22.771838461884094,-20.45746474213316,-22.952242929795215,-22.436208793979247,-22.70094108905415,-22.77978235655585,-22.011055936735886,-20.482933145073176,-21.190060878945626,-21.053921426594258,-21.623304418770356,-22.26386444566905,-22.84459117911342,-20.231958112583598,-22.849346110417677,-20.955148847284505,-21.135251877865155,-19.63102078457919,-21.152809893379477,-20.22189412034028,-20.783697142434765,-22.064853146919845
4.5,-22.775095867885582,-21.872238153165533,-24.351763368750888,-23.97991866889514,-24.108982220522083,-23.750080373324668,-23.13001211939154,-21.591340553172703,-22.385812573589373,-21.7098474260034,-22.442240529856782,-23.94762878546126,-23.982837911725685,-21.631399428949262,-24.22963669297611,-21.50622280817665,-22.362684676956587,-21.22733385077706,-21.570239714845496,-21.811737914760414,-22.015822190573957,-23.514499758507775
