frequency_hz,F7-T3,T3-T5,T5-O1,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,P4-O2,FP1-F7,FP2-F8,FP1-F3,FP2-F4,F4-C4,C4-P4,F3-C3,C3-P3,P3-O1
0.0,6638.854961589492,6262.12538373483,6336.785245118449,6767.007827947236,6351.3776429835725,5349.008354338368,6269.016626537605,6819.449912306972,6541.031451057627,6143.385257650403,6107.062541814986,6338.201892249609,6222.8667779226535,6708.345788334288,6659.044175631729,7018.571623182353,6493.386696848188,6360.812851784179,6021.602985082207,7113.264235794193,5974.404870319049,6237.051515354705
0.5,6786.858165494302,6832.474053224771,7083.227758538498,6927.137313357991,6712.398037576578,7343.4766569860685,6255.415314851677,6502.960302003473,6631.030380765176,6991.316071409801,6813.379346373972,6485.918823567876,6804.026425557658,6725.918387279202,6719.054291725594,6610.353833131088,7183.360803359855,6795.048054728962,6919.71408143281,6842.079186540054,6854.982490728251,6876.412489327428
1.0,4815.4625617444335,5045.1267250424025,4658.514761275939,4806.10261695264,4549.181319325026,4828.599673166884,4230.880427039567,4749.188173732225,4461.761454218846,4772.635065614021,4678.890841009841,4685.331569221612,4377.290369538915,4596.1413809886235,4483.422563499591,4475.673745700989,4593.254109894289,4956.136021564496,5010.596546977292,5083.201227742511,4954.479954791875,4886.238612138406
1.5,3777.470319852831,3936.5034698967165,3517.6789701012513,3566.5554130809387,3743.1112401655887,3637.701602630562,3540.2262401412977,3725.7652033174863,3639.6825111269686,3850.6631989364505,3903.557898068961,3730.6218165984283,3474.3620794999983,3583.542083833644,3598.661064343195,3793.6609170845563,3870.657572315368,4240.549421925667,3926.926877516639,3856.5511798440825,4091.7412219402568,3656.6369448516643
2.0,2756.6634244613088,2908.6673730419266,2479.5239363179735,2638.0149152679173,2681.457256608364,2932.0187302629474,2710.8464241896772,2790.366710382154,2720.6327526171103,2976.9860132728363,3028.046386815948,2798.2200244406768,2690.7757299681743,2932.4861955518895,2607.377402324432,2793.640354411904,2770.9630532699944,3244.819213637396,2938.4751274812365,3017.3109216780726,3079.1487885088945,2772.105324266096
2.5,2271.6374579981457,2395.1604453362147,1978.3325434678334,2243.9424153358577,2347.6318107276416,2338.8051855754734,2415.3928096195987,2442.357782242466,2333.42382781366,2418.8517701043743,2600.582152597753,2549.4116645700974,2135.8362857096395,2432.4977445642394,2443.8151909952917,2333.2163205108454,2373.8199579868506,2738.5824282582266,2497.9606563142775,2461.885604700402,2405.175975456284,2214.4295978785576
3.0,1977.195735881774,2080.594316049875,1805.1376312970685,1939.5886387706587,1974.7466134876906,2065.897021851314,2045.7507852582185,2017.4462786798279,2055.754226040383,2181.5705215055755,2150.7240563451364,2025.4616976575676,2027.4323816264039,2356.9247374622237,1940.2374451625892,2136.8741627915497,1973.6428775445904,2354.9284709161507,2132.3898053252933,1979.15963814512,2103.3220679437163,1930.0000049600765
3.5,1922.9594414112319,1825.7304275439535,1471.4988284891922,1732.5641097201924,1629.8716973838684,1801.5717674775642,1847.0422803574083,1850.15061602694,1832.78017856652,1824.0322387201136,1925.6978238396782,1790.2025795552215,1655.5928437908512,1939.3937057927312,1877.4952578817185,1830.075275888946,1940.1420375611417,2098.119321793697,1807.6373174910013,1927.376510357571,1767.8135157405873,1710.3100285239616
4.0,1460.4857479593686,1667.7754380637316,1353.2684822110166,1562.0091057240795,1556.382366035345,1432.9479920909553,1660.1587249797076,1663.8440705563667,1618.5984436420724,1643.9664621624443,1764.6696153717755,1685.4294242145163,1432.8458965292537,1815.4201469016286,1584.156729133174,1600.3762382312705,1647.803361039523,1956.9507555807015,1646.6202913714797,1685.6771492827802,1523.2477433101612,1471.9397790510993
4.5,1405.263409730878,1483.2732724871212,1182.887682187686,1295.3357359864865,1350.260477623934,1345.7402548063085,1469.1427837972726,1483.039041186443,1513.145385641734,1563.0814749307933,1631.232712059004,1406.2998736708385,1355.9312166217899,1633.4141426277072,1476.8574365951163,1591.4506797421589,1479.7177945203782,1614.8229457309085,1539.4885010167566,1432.636669579412,1332.9885694336047,1339.9450643476264
5.0,1300.8980177106462,1387.3647971656906,1112.8573238194926,1254.4617975556591,1194.839995679354,1276.9031800414723,1277.213374103133,1320.6768935072475,1399.7113703176228,1408.8559360438671,1406.9073037373964,1321.7399612381707,1207.1212420748798,1522.909908236237,1400.6560828294691,1431.8016305022745,1417.0838309605122,1673.0958138196524,1429.6884455976126,1377.522774802499,1246.7973224553282,1177.673491374847
5.5,1190.4065215497533,1270.383706872332,1042.1878819884787,1191.2366184080474,1133.776100615733,1148.3647434859797,1222.2551158127455,1205.560613015288,1269.4580615694547,1355.531105441559,1370.0033836708308,1171.0545400952356,1103.8558521805785,1260.7107946975443,1246.324065971369,1179.9094198597986,1230.5173166674822,1383.4879328094837,1352.2972868357622,1198.4171983510282,1115.3306354668466,1042.361444366545
6.0,1113.0411103988301,1154.6696524546273,907.7239900530546,975.5583448786856,1072.3280617518578,1039.0064636228344,1140.402247554055,1093.767021036782,1268.1279842710946,1259.1008123356876,1214.3725243140254,1026.2573281656908,1132.7398690404466,1284.642180336014,1210.5868507482026,1097.421353420409,1227.7994439245767,1347.3736940671001,1310.969880781728,1069.210804839184,1016.9894076096572,964.1319073140937
6.5,1040.1674540511683,1087.35700972459,840.7859844725814,965.3758377883175,881.3220860898742,977.9655718643936,1019.8528534082635,1069.3315743380267,1115.3147940439262,1173.13129168031,1099.1934793977368,1011.7832366449989,1008.1358601872596,1172.605200273846,1088.5983718279842,1045.0048226001986,1072.775041285828,1323.8816689205019,1154.5792093105945,992.8421827649885,986.5266653821997,897.7554035553819
7.0,946.8030825713035,1048.9936673093,784.1415933565662,879.2647649811261,828.1536790022042,931.8673585582127,977.6448334662952,974.7968043255015,1052.5310647751162,1075.6145905937371,1024.210758859565,906.5450750099008,1005.5726481166829,1168.176930305468,884.9695708582279,961.3810814494212,919.9444749645023,1197.7485783489424,1130.3357380771056,980.0119297097209,827.9387200445556,794.1462395500026
7.5,835.0543148024675,890.7397596631224,761.8003552511727,818.4219280834344,805.7673562348579,928.7237618854333,883.6872948216869,957.7001098719007,947.8024190829746,1001.8776134014739,921.1020999513021,850.0736117667096,948.3099293614099,1106.68656989988,871.5107245301514,938.3309054995598,920.5772278611761,1175.650480243564,1016.1253320583027,897.1265116294461,821.0065321591968,759.8810776288248
8.0,823.5377669404514,866.9084754236836,667.8391505774025,763.7492389186334,733.3113768501281,774.5707244952783,866.4470534757079,899.9854962499343,842.8054268582258,947.2051621705896,944.8138587041266,807.7552574232941,838.9287013115808,1138.1733619500014,823.042788312568,944.9885505733599,850.5504926562768,1026.3546951273286,959.2967996401392,791.4605679068978,730.156296553886,690.2061609237026
8.5,819.1551442766429,870.5276006266973,636.2547122664452,741.0296314637252,762.8980630935281,752.2409198014612,846.9610879419749,840.3937173061995,818.7329419152636,846.027488419146,936.6474842554062,793.433516569153,841.0287638106898,945.1739006989409,771.5387057403901,797.6172875726093,825.9103798419212,1088.032811605078,990.5394944713788,808.5299761026495,698.2961682910147,652.940448021578
9.0,805.5547433027432,799.7702803825155,636.293578655491,691.8336568867244,758.525941275033,751.8327100590892,851.9581761432501,812.8645639067498,783.1895800669269,931.5297637928428,918.5659412530106,778.7731142977018,767.2085036643173,994.1003572271101,833.8259518717059,827.5833723894435,795.5902202280716,950.5406551493916,911.4330304993834,741.8000157974462,633.2685631217329,629.0931299424365
9.5,771.2164529918942,847.2443001527394,646.9043557144663,687.7265368573701,683.3716169400656,686.4482562657097,791.2473082040619,806.2072413153064,797.0741335422704,887.8498270341317,835.4180862405833,694.7518384630025,740.4401819172983,998.3742306999993,759.6663520273897,872.3181472601789,810.5964446504245,940.5463699119565,843.4715523956768,693.3672731983414,690.7595051735203,646.9028700291758
10.0,674.7472938950258,725.1679929747536,573.444566950509,669.3031686394353,651.6536433424009,704.704841401809,695.7641446335848,738.8740582563103,792.8266496848651,877.0955618666626,784.4965583719804,694.887284572063,744.282967540473,896.4834601149689,734.6798546935587,750.5152133498942,743.4127719249302,920.232505351632,859.0375120500153,706.2478457037702,623.2304414602468,614.1418025130333
10.5,681.0754972604565,715.8514828668269,577.0167613485714,638.1297910362468,650.7641784716534,667.2227738601607,726.5826337372391,755.1336660253478,717.5465618413685,804.8937683033452,776.4929757943861,687.6828141549278,687.1303573940266,831.630192835008,698.4538165373165,716.5569581754104,735.2938995898819,997.9394123463684,820.5514723545833,648.5265736585151,591.1728453210654,568.2579263111926
