frequency_hz,FP1-F7,F7-T3,FP2-F8,F8-T4,FP1-F3,F3-C3,FP2-F4,F4-C4,T3-T5,T5-O1,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,C3-P3,P3-O1,C4-P4,P4-O2
0.0,-7.1747085295056845,-7.500464253762632,-7.563905484731439,-8.756386107857344,-7.132989592702355,-7.387811716394767,-7.084575231697268,-9.62193170647895,-9.13888319938716,-11.463263506783827,-8.088962066915547,-8.560628698989873,-8.819505791285147,-8.678770021152163,-8.230034265736005,-8.346346669433496,-9.849248308288377,-7.397207907344755,-10.085632387190488,-9.820635498826494,-9.221679957207659,-6.201305788955627
0.4807692307692308,,,,,,,,,-6.180908209670439,,-6.109992474059553,-6.099052619510203,-6.205329741141222,-5.610738124728046,-6.03166240358554,-6.283937790731178,-4.964469279934082,,-5.917980041084374,-6.702418040980631,-5.230964262053771,-5.796631710559089
0.49407114624505927,,,,,,,,,,-6.398409967866914,,,,,,,,-6.439289437653403,,,,
0.5,-4.702607390689014,-5.722648638776004,-5.0848717714041305,-5.463755042050089,-5.006513935481901,-6.71370826374748,-5.206254648883707,-5.688691838543869,,,,,,,,,,,,,,
0.9615384615384616,,,,,,,,,-7.457956285917176,,-6.4754124553275005,-6.7701350673346985,-8.079343455902666,-7.402707620185365,-6.505737073644782,-7.363188528037843,-6.634183451550446,,-7.347570390330051,-8.429669005804078,-7.304029195501593,-7.478498682135931
0.9881422924901185,,,,,,,,,,-8.311043395377903,,,,,,,,-7.425807602978969,,,,
1.0,-8.234186515153587,-7.76487381553142,-8.444799624701606,-7.540234232430469,-8.358768134891221,-8.690132751232985,-8.562644211346601,-8.311593095759159,,,,,,,,,,,,,,
1.4423076923076923,,,,,,,,,-9.48494200939136,,-7.742548467000493,-9.371813841786631,-9.252152811824077,-8.376779625961749,-9.937699250189821,-9.555411730743248,-8.025906816062225,,-9.026311943268261,-10.060151670710301,-8.615001752562351,-8.781818205479416
1.4822134387351777,,,,,,,,,,-9.93772702895806,,,,,,,,-8.758938867917777,,,,
1.5,-10.810169902132944,-9.854841919085219,-10.863787840048825,-9.627508296821793,-10.744454130093832,-10.625480487220148,-10.85582025199513,-10.427466955225896,,,,,,,,,,,,,,
1.9230769230769231,,,,,,,,,-10.653880127223166,,-9.196169907849896,-10.743273739775018,-9.894895905423336,-10.657324241097099,-10.89882431830835,-10.73734443465133,-8.62402870492966,,-9.901616923037842,-10.028719541630707,-10.810313045963943,-11.2959672393185
1.976284584980237,,,,,,,,,,-11.212451706231901,,,,,,,,-11.327964282539417,,,,
2.0,-12.739906064497543,-11.2943123366768,-12.746636283725056,-11.517705082172487,-12.74962777683944,-11.93322441749372,-12.542770638669237,-12.061940248841378,,,,,,,,,,,,,,
2.4038461538461537,,,,,,,,,-11.928816460359752,,-9.735370545592465,-10.982124029198248,-11.727243130857245,-11.03719849781679,-10.777675502967137,-11.626924431654755,-10.327169244662233,,-12.060071954160978,-12.383945369110474,-12.091159674557403,-12.166179822766884
2.4703557312252964,,,,,,,,,,-11.970681292991184,,,,,,,,-11.291661322615004,,,,
2.5,-14.40056101765394,-13.485471413262005,-14.601081906133281,-12.999441981728092,-14.456312168875154,-14.43703463058878,-14.490716530385829,-13.691394777903398,,,,,,,,,,,,,,
2.8846153846153846,,,,,,,,,-12.657268029041266,,-11.22155532854352,-11.750010496050715,-12.485831081640354,-12.062107302737843,-11.511620499078123,-11.154270282455764,-11.260463949836378,,-11.803270985616479,-11.89705922155727,-11.633523421772251,-12.557585874467417
2.9644268774703555,,,,,,,,,,-12.451208550924273,,,,,,,,-11.899975691916962,,,,
3.0,-16.172021201459145,-14.24987262079677,-16.258287978139315,-13.814288678609172,-16.151619115756365,-14.791734357358713,-16.119645370302656,-14.802499768394231,,,,,,,,,,,,,,
3.3653846153846154,,,,,,,,,-12.825382095696881,,-12.341309505459911,-12.606702596962768,-13.416839975911577,-12.749966034252733,-12.936221004751069,-13.35794804442998,-12.524906028840284,,-13.344659323446788,-13.05313494444557,-13.471591723576488,-12.877652662230686
3.458498023715415,,,,,,,,,,-13.735908701249695,,,,,,,,-12.989004126483708,,,,
3.5,-17.681259673192926,-15.899402425764219,-17.688395007958416,-15.757442151306632,-17.579086454179482,-16.62417048641847,-17.44072464101506,-16.292612142955853,,,,,,,,,,,,,,
3.8461538461538463,,,,,,,,,-13.69719796472386,,-13.556021654948578,-13.222883329840704,-14.924893896140436,-13.75393630895376,-13.512893561261473,-13.048561781466239,-13.210714342379601,,-13.69148601491944,-13.649688172719893,-14.204432106112032,-13.251624106440891
3.952569169960474,,,,,,,,,,-14.363832610312983,,,,,,,,-14.14601785534801,,,,
4.0,-18.67201240000482,-17.089835768260503,-18.802484466649787,-16.733525071663323,-18.504132925402267,-17.519400134480954,-18.478051338172172,-17.39222230318291,,,,,,,,,,,,,,
4.326923076923077,,,,,,,,,-15.586676188520158,,-13.96404172197326,-13.656083550731587,-14.937127414005305,-14.364090856623948,-13.873262139689398,-14.726880460256131,-14.095260367862945,,-14.692996166310213,-14.410557072560684,-15.0765234497901,-14.479114941597652
4.446640316205533,,,,,,,,,,-14.473255755944768,,,,,,,,-14.909954179551198,,,,
4.5,-19.756681475847316,-18.089293488852498,-20.168129258924395,-17.86299498798179,-19.58117955602545,-18.58966368811013,-19.598912509264505,-18.297777771543476,,,,,,,,,,,,,,
4.8076923076923075,,,,,,,,,-16.07987651942945,,-14.522723801557982,-14.682740773958157,-15.56437240333068,-14.42992269737392,-14.386603587518115,-14.81074733969407,-14.228841165167996,,-14.534455071770328,-15.242840998509193,-15.200075700198107,-15.22617836286439
4.940711462450593,,,,,,,,,,-15.87968173862656,,,,,,,,-15.485313393135124,,,,
5.0,-20.88917841024351,-19.01363243629723,-20.632335088017445,-18.98086673867738,-20.633269265888103,-19.402771207127582,-20.23320475371458,-19.137628202628406,,,,,,,,,,,,,,
5.288461538461538,,,,,,,,,-15.76662807673389,,-13.10148815648792,-14.509415850903089,-16.391394580378744,-15.806727910225366,-14.840788995741136,-15.182237924434151,-14.78022514385516,,-15.54891364900012,-15.690673102950948,-15.73528947747284,-15.116132567166856
5.434782608695652,,,,,,,,,,-17.585843180354345,,,,,,,,-16.142558981664546,,,,
5.5,-21.692256157646565,-19.82013301275148,-21.75415177949607,-19.72235168187574,-21.60819546499977,-20.043809116348285,-21.292760642165206,-20.047970611166775,,,,,,,,,,,,,,
5.769230769230769,,,,,,,,,-16.25204691702803,,-14.736891533113438,-14.442740482711216,-15.705151413391949,-15.950468318270485,-15.679645523946027,-15.982933658008807,-15.50756148129127,,-14.900133177589673,-15.169152773367056,-15.712460895291622,-15.07177317530272
5.928853754940711,,,,,,,,,,-16.652320027346725,,,,,,,,-16.56727969578959,,,,
6.0,-22.29603157001922,-20.777334355548252,-22.467334132783552,-20.390175143627573,-22.223901855334436,-20.756749350276213,-22.107115388561958,-20.638868832421288,,,,,,,,,,,,,,
6.25,,,,,,,,,-16.319661251660772,,-15.122061884735597,-15.31897474297656,-16.417336723350225,-16.69491593690446,-15.814892424368294,-16.455849306252134,-15.946818001956428,,-17.000971863807706,-16.182258899543577,-17.329964125639897,-16.017231014808026
6.4229249011857705,,,,,,,,,,-16.704606505823328,,,,,,,,-17.649018010089954,,,,
6.5,-23.273251739608725,-21.485476150943732,-23.368998383517347,-21.228450640254245,-23.158305827726338,-21.638297714055724,-23.029294332294818,-21.545534197416384,,,,,,,,,,,,,,
6.730769230769231,,,,,,,,,-16.888231777506235,,-15.732525236321234,-16.361206096547154,-17.76145268684283,-16.256507140075907,-16.339514492029913,-16.223198494113678,-16.686971707406556,,-17.40825643709952,-16.4064046979595,-17.264364379870273,-16.86254430030019
6.91699604743083,,,,,,,,,,-16.79494821069401,,,,,,,,-17.764012407742566,,,,
7.0,-23.941635891768517,-22.545352286085247,-24.301255406366433,-21.715812818056506,-23.910965154792486,-22.52209687023913,-23.92518163378993,-22.385236929446666,,,,,,,,,,,,,,
7.211538461538462,,,,,,,,,-17.93634944141689,,-16.303460170591205,-16.072192151402668,-18.679882367870366,-17.53436357123569,-16.314570599657152,-16.758277756473124,-16.67915677655422,,-17.598694623466937,-16.12398071898832,-17.669523438000038,-16.493163727058956
7.411067193675889,,,,,,,,,,-17.38664840418955,,,,,,,,-18.464280310802568,,,,
7.5,-24.915500646336078,-22.60491117436938,-25.084514312558433,-22.413205781166425,-24.7105104123553,-23.288110034010668,-24.462494884268907,-22.70790067867113,,,,,,,,,,,,,,
7.6923076923076925,,,,,,,,,-17.862856609108018,,-16.967728500710905,-17.106050268509257,-19.962901179575976,-17.768140104120498,-16.165979588011677,-17.786402650103398,-17.64630399340671,,-17.702751660358665,-17.234203368354233,-18.052835435104726,-16.673302456375858
