frequency_hz,FP1-F7,F7-T3,FP2-F8,F8-T4,FP1-F3,F3-C3,FP2-F4,F4-C4,T3-T5,T5-O1,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,C3-P3,P3-O1,C4-P4,P4-O2
0.0,6299.175109150744,5965.405240542668,6118.640714348106,5503.1415606827495,6238.162264616425,6258.725934932897,6300.252068363617,5564.462866022044,5347.608517202882,5048.593506653299,5571.369213765266,5500.99527759909,5350.74500726475,5535.48375766895,5914.718507865704,5769.331455685748,4726.854212852768,5922.807786797116,4968.662088931418,4943.7810282823575,5216.263949099201,6254.623802624552
0.4807692307692308,,,,,,,,,6081.152247744915,,6085.093646063356,6139.322463743657,6143.274881298727,6271.068501165734,6089.69930227213,5821.574615990457,6777.482162372328,,6180.340930584287,5740.177161297397,6608.618460207754,6155.194120404483
0.49407114624505927,,,,,,,,,,5853.898345998827,,,,,,,,5996.630819987761,,,,
0.5,6795.466353161723,6362.723787587815,6666.9945286680695,6477.7982720390855,6682.974641354234,5794.287681857478,6580.5950145483885,6311.892846606184,,,,,,,,,,,,,,
0.9615384615384616,,,,,,,,,5194.828701156408,,5847.515077393922,5551.920403261566,5003.671589805577,5219.760254084645,5855.7336992483515,5160.933988242661,5773.318376351923,,5346.267259663282,4853.541675386829,5379.34216535643,5359.06808708185
0.9881422924901185,,,,,,,,,,4875.665055790476,,,,,,,,5318.8833370253715,,,,
1.0,4968.305046819061,5103.178118271813,4893.219602421716,5189.865106237038,4905.97775969579,4787.597978583516,4846.292335705646,4940.640903217839,,,,,,,,,,,,,,
1.4423076923076923,,,,,,,,,4286.407447701843,,5080.5440368066675,4380.273633510984,4323.09062467983,4717.947587427626,4336.881348563804,4311.580199176588,4797.801454450625,,4442.014912239964,3961.8903142625477,4535.654525244856,4596.8777585364805
1.4822134387351777,,,,,,,,,,4159.500844265943,,,,,,,,4597.893363064845,,,,
1.5,3941.2839069762067,4318.778407581797,3943.1492766742435,4338.048797539182,3954.011648190897,3928.010758546129,3966.2858421419437,4105.539944721933,,,,,,,,,,,,,,
1.9230769230769231,,,,,,,,,3858.414777772324,,4332.456712938887,3824.8242795270667,4227.022718868627,4060.0256343046785,3827.2083206161055,3783.2503963456434,4657.755682410969,,4130.416382032557,4009.93130663655,3724.799443134008,3572.183047453954
1.976284584980237,,,,,,,,,,3639.9214682576053,,,,,,,,3862.7924465156284,,,,
2.0,3386.4867590461195,3785.3565809178444,3393.165370905756,3583.391580421709,3360.6942276685363,3613.8988765865606,3443.798453769754,3605.1463572399116,,,,,,,,,,,,,,
2.4038461538461537,,,,,,,,,3387.1941890652674,,4168.271915509801,3741.6587775292696,3469.392141344971,3772.1500976880366,3772.403323423263,3442.8741158273215,4041.046727446939,,3346.305588194669,3368.9787475600597,3371.2823096613765,3233.7599627315285
2.4703557312252964,,,,,,,,,,3195.9930566003563,,,,,,,,3596.8822218582923,,,,
2.5,2933.7187354819494,2983.408371891427,2869.3019925715557,3185.7772449388112,2928.1682393693163,2833.882252282795,2910.6252260874894,3090.5315747047202,,,,,,,,,,,,,,
2.8846153846153846,,,,,,,,,3292.2678449954296,,3539.2243898186225,3481.7371160045727,3189.9977483875973,3685.610451014359,3370.525771965746,3480.8739431547788,3631.0392880195177,,3543.158643132074,3435.263228993348,3424.321811808716,3254.239373161264
2.9644268774703555,,,,,,,,,,3134.714474253146,,,,,,,,3511.5538389318294,,,,
3.0,2489.395660265763,2807.7289369226187,2499.848701664018,3040.5717915637006,2509.7886880668952,2842.270858253345,2569.2557337366466,2930.1349476439236,,,,,,,,,,,,,,
3.3653846153846154,,,,,,,,,3038.0014404242993,,3434.813158314099,3168.498615006387,2812.1339784153115,3184.862322465524,3051.9111327931714,2926.0514044246,3313.632977271068,,2946.1971043355475,3052.8551542065243,2939.1889118285376,3068.847138757674
3.458498023715415,,,,,,,,,,2807.50761223853,,,,,,,,3113.0942399458036,,,,
3.5,2192.5309327541827,2458.552318799747,2206.5872149288225,2565.203049897514,2223.650168457899,2371.697961633775,2256.8241993960232,2498.012153390667,,,,,,,,,,,,,,
3.8461538461538463,,,,,,,,,2630.18195885482,,2955.290308817052,2881.1873732657295,2566.3848620767744,3002.758947489076,2866.808756056504,2884.4734614353024,3010.817734312885,,2726.3442529543804,2730.4721663766722,2654.719764036841,2791.502714587657
3.952569169960474,,,,,,,,,,2545.110382015297,,,,,,,,2834.301081763824,,,,
4.0,1984.796327737198,2115.8503065485193,1982.2468847596629,2308.6147658851683,2056.928833732929,2128.0378510168043,2077.394979106927,2222.231600603198,,,,,,,,,,,,,,
4.326923076923077,,,,,,,,,2237.2818853553163,,2807.5791129575396,2704.380391388772,2459.534140102659,2721.318636872469,2608.5561892463347,2489.6237438991857,2787.8114422644167,,2474.9275237082647,2587.0263553136338,2390.359375573771,2510.9384621177137
4.446640316205533,,,,,,,,,,2516.2717347535913,,,,,,,,2626.7702947523085,,,,
4.5,1841.607711364012,1953.8470853677368,1794.9985962583655,2140.7953310673306,1898.651137574132,1934.4780517005697,1906.642383708475,2046.5573496293132,,,,,,,,,,,,,,
4.8076923076923075,,,,,,,,,2247.8717437900577,,2780.4098278913907,2487.460910933818,2376.5362986813393,2717.1319878137706,2557.036983250116,2395.5012445970315,2826.3419481827805,,2668.42136786527,2380.150710996665,2451.784056103523,2438.6809056901834
4.940711462450593,,,,,,,,,,2249.597911338251,,,,,,,,2430.7367271430003,,,,
5.0,1693.5139257040707,1845.2269040636575,1718.777663220018,1975.5958505124815,1718.8537103915617,1852.2415340142022,1786.2828169204886,1918.7564891667444,,,,,,,,,,,,,,
5.288461538461538,,,,,,,,,2106.384318650945,,2842.364306035857,2575.2820312497975,2047.9630467153095,2418.17702326654,2481.077595572689,2308.548360286435,2445.6643553665444,,2351.8229193324796,2360.5981690841177,2262.17793266071,2458.335732082035
5.434782608695652,,,,,,,,,,1865.910330389327,,,,,,,,2409.9595971605745,,,,
5.5,1557.1012508623796,1794.4428753884858,1559.8381692718626,1757.6812782790328,1605.4507992082831,1708.5219243205104,1650.0507965889851,1844.2265760290109,,,,,,,,,,,,,,
5.769230769230769,,,,,,,,,2113.3922053099236,,2452.3001940759746,2403.3601382425804,2315.427075010344,2291.5708777154396,2324.453031835204,2188.031053723279,2423.9593769960766,,2382.4757297368,2337.925198399726,2137.1189105953517,2532.246190966921
5.928853754940711,,,,,,,,,,2063.534901418123,,,,,,,,2235.120605716534,,,,
6.0,1441.9009809488616,1586.4470912548747,1436.4383233339872,1618.1706763861637,1479.1942897702686,1650.0924480040946,1520.5246149206869,1697.0153302082485,,,,,,,,,,,,,,
6.25,,,,,,,,,2134.2457260267734,,2487.746463532284,2295.3695198572727,2370.8260721263473,2129.954245177592,2160.859622796463,2052.443250508699,2321.34651061928,,2084.247056761977,2257.5700402488674,1935.1774811262521,2166.6982497407425
6.4229249011857705,,,,,,,,,,2027.2996846018127,,,,,,,,2109.845814583458,,,,
6.5,1324.2579539126737,1501.3572856317448,1331.7297299557035,1497.5202707403282,1359.0337897754775,1526.9955187113515,1404.1386052023918,1542.1768339629314,,,,,,,,,,,,,,
6.730769230769231,,,,,,,,,1991.7078311753028,,2276.441591502747,2080.4143865333876,1931.8017489424453,2130.3988841393175,2094.3888855367477,2059.9962499018197,2213.1302509952015,,1929.0231642142742,2141.26479247234,1896.4752758038555,1999.0420503224157
6.91699604743083,,,,,,,,,,1962.0684668151325,,,,,,,,1866.9421204021535,,,,
7.0,1241.339785325771,1365.1637558158332,1207.3402557427294,1472.9556937316613,1254.8953247532468,1374.0061258447952,1271.7637243606414,1423.5033565277913,,,,,,,,,,,,,,
7.211538461538462,,,,,,,,,1921.565300511103,,2188.694655325305,2199.525225788665,1848.1294634866579,1905.612790495375,2105.0707375871207,2038.613480997242,2247.187811579799,,1961.3933749076086,2101.446771730034,1910.7404753110386,2184.471669329722
7.411067193675889,,,,,,,,,,1895.5159045500363,,,,,,,,1852.1218005149753,,,,
7.5,1154.2715956050586,1383.4843747837785,1162.5821695983516,1460.1523813234758,1191.5563547281408,1337.140261127808,1239.960058667849,1378.9325731671358,,,,,,,,,,,,,,
7.6923076923076925,,,,,,,,,1762.9662873972786,,1928.41743613292,1823.2166009715454,1662.7129465376165,1911.3420017372375,2036.8883021076783,1752.360788503298,1825.9136226654018,,1954.190987419018,1938.2649881554146,1750.8049364165781,2011.77307917157
7.905138339920948,,,,,,,,,,1973.686479803409,,,,,,,,1786.980999675056,,,,
8.0,1133.4064952404326,1286.3136924735024,1148.5661007083322,1377.7598651280127,1191.234183172018,1341.888435648645,1226.8400376038517,1379.6023514691885,,,,,,,,,,,,,,
8.173076923076923,,,,,,,,,1808.0671330244384,,2237.804645436905,2178.5212654554584,1738.7963203748352,1872.3971732787447,2161.767008098075,1871.6433334647506,1918.7752890755935,,1843.1771000506508,1878.533988449858,1706.5322283128223,1939.6461019716155
8.399209486166008,,,,,,,,,,1876.0785470573724,,,,,,,,1818.0546877049528,,,,
8.5,1011.1341671322092,1243.3493043636367,1015.6355848988472,1355.7570767035263,1041.086017377335,1201.7110080816474,1069.2049887247167,1298.637101603261,,,,,,,,,,,,,,
8.653846153846153,,,,,,,,,1651.880451143866,,2097.4618736297098,1967.8690830829682,1596.836830803059,1591.5636488644955,1971.6193748235544,1881.7874088457809,1774.5596312606342,,1859.31319042223,1773.5307635213903,1677.5573110593093,1714.300597146297
8.893280632411066,,,,,,,,,,1758.9941191260957,,,,,,,,1536.230553508294,,,,
9.0,941.3881104988563,1106.6639550568514,956.4818728343124,1150.4451052499319,991.6181968031375,1052.6625068870223,1007.8376684660404,1089.656718794056,,,,,,,,,,,,,,
9.134615384615385,,,,,,,,,1742.788755082825,,2045.2242883386814,2160.641905299031,1624.3155357891683,1939.9505317671767,2046.4391603458917,1870.2725431980411,1850.7850271227346,,1855.7353125871784,1740.1784531686835,1728.9452408936138,1983.1919492614602
9.387351778656127,,,,,,,,,,1592.5582977133206,,,,,,,,1820.3849030467736,,,,
9.5,931.3812404560477,1160.2501933499166,935.6545821911099,1190.4792570168675,970.8208113483943,1133.6469140028476,996.1028593625005,1122.5748659378671,,,,,,,,,,,,,,
9.615384615384615,,,,,,,,,1657.7409925528934,,2030.375151205413,1870.726579700029,1610.3710333515214,1787.11549522703,1958.4593672878616,1745.3694640694403,1629.635497284133,,1644.1002827618534,1825.0546638769763,1652.685269918731,1983.6101753452438
9.881422924901186,,,,,,,,,,1672.2535563915862,,,,,,,,1513.0104434178845,,,,
10.0,855.3229050175403,1035.90766535868,868.4143683109858,1156.0042615027464,873.7423561973459,977.3803327635612,910.5099979694672,1082.235046262523,,,,,,,,,,,,,,
10.096153846153847,,,,,,,,,1730.2461193942468,,1812.6729342742033,1951.4731300633298,1614.8843598352407,1827.8667154750146,1821.5026379954932,1745.9492207916303,1704.037739888974,,1852.1486889654302,2147.708907305718,1599.9243730386588,1946.3940661062013
10.375494071146244,,,,,,,,,,1647.8074790835378,,,,,,,,1695.5219248428543,,,,
10.5,806.0693990039636,1040.3363983738275,811.986640602662,1133.6701276181639,838.5012488254442,1098.0542093480112,866.508244943189,1107.1820788627724,,,,,,,,,,,,,,
10.576923076923077,,,,,,,,,1716.2032986429995,,1962.4461981945324,1809.3653571776433,1622.7893639577655,1760.632121532201,1801.0886287474643,1842.9878748069948,1810.207273167248,,1970.3178900640153,2063.2739157216943,1801.743150775715,1768.6074715029463
10.869565217391305,,,,,,,,,,2085.3755475828434,,,,,,,,1521.7449057592178,,,,
11.0,848.6589374715509,1060.71943170277,817.3848556194054,1063.9108336470442,847.658996560011,1063.6848670953277,868.81885394231,1078.5987999278695,,,,,,,,,,,,,,
11.057692307692308,,,,,,,,,1871.5429744756373,,1972.3019306067815,1749.6240134275552,1553.02417671187,1762.640346195596,1960.8049386354826,1702.9116064630023,1633.4343619220272,,1870.7925029583319,1913.251665170588,1660.176396038836,1923.8722134258708
11.363636363636363,,,,,,,,,,1708.2281999471008,,,,,,,,1504.191974619689,,,,
11.5,789.9260702913257,1055.399635374643,787.3136096221745,1035.7264969390897,813.9864804359635,1026.570512726197,833.6713560331688,1042.6098959953065,,,,,,,,,,,,,,
11.538461538461538,,,,,,,,,1757.0423364611459,,1741.8702483678446,1728.3106912367066,1611.7423816108778,1646.4505582457741,1732.039415894336,1807.22941580445,1604.9089216439575,,1746.100232435869,2026.8795785060497,1617.683734243381,1750.50520968149
11.857707509881422,,,,,,,,,,1850.0578901715976,,,,,,,,1352.955359270988,,,,
12.0,751.004434453873,955.8096040167507,756.5072369999874,1006.5990119705604,755.0288912832052,992.1852686899123,795.222479804341,933.4591078936126,,,,,,,,,,,,,,
12.01923076923077,,,,,,,,,1639.603528445213,,1823.9089412790884,1733.9451898079806,1327.3802700844512,1602.889424222338,1929.7751703242673,1842.1029044657098,1467.9755676529312,,1726.5368576989263,1811.3679620673392,1404.0201578250555,1830.4133984793723
12.351778656126482,,,,,,,,,,1858.5812586502923,,,,,,,,1302.7353513816292,,,,
12.5,708.8551927149923,909.866455487003,705.3280465405903,911.9282875210407,747.3104150580702,933.8290594512773,770.607855900285,911.052308706972,1737.2196968118503,,1883.3786370689245,1889.3832418628513,1393.0201373290736,1690.9057679833954,1646.5267792579089,1702.3631963672183,1467.3950802281543,,1705.157931116971,1872.2779697840874,1488.0042021350066,1824.246258305434
12.845849802371541,,,,,,,,,,1769.3521488325173,,,,,,,,1295.9549305076875,,,,
12.980769230769232,,,,,,,,,1570.3236814451132,,1888.4563445827243,1787.4638171115798,1458.4320678876838,1718.4064008568027,1929.1704592509232,1861.2327469633813,1609.0516080786151,,1670.8675112784967,1704.1913265667677,1599.2809393200773,1848.2836554916346
13.0,666.8173941044597,926.0465099288059,669.3220541699288,901.4953499427345,689.6071182676242,888.5533230111193,720.2797477112938,895.6502167447926,,,,,,,,,,,,,,
13.3399209486166,,,,,,,,,,1647.3749643274282,,,,,,,,1537.7698866478468,,,,
13.461538461538462,,,,,,,,,1609.7676303712765,,1700.8325744970375,1595.3972018186037,1277.4146059067014,1480.6536342533614,1758.1595937788252,1617.1094724110396,1264.2525504409375,,1653.4649979423807,1663.6971871552196,1534.7065826513842,1705.5103569008836
13.5,673.135760738781,896.4677427406422,667.1432057489657,960.7134147097835,685.9577324962585,939.1030205134861,689.1771200860198,930.9173829400908,,,,,,,,,,,,,,
13.83399209486166,,,,,,,,,,1685.4189360908254,,,,,,,,1425.4982462644723,,,,
13.942307692307693,,,,,,,,,1742.4705272435806,,1621.0072966972614,1731.7073987782933,1479.165733792729,1641.0344816289255,1744.4793093731555,1768.479313179639,1531.7385512436726,,1609.998171766963,1812.2843795111028,1505.1572502822974,1700.3088337470567
14.0,634.664485637307,861.3815996630793,602.2979456990225,948.0454324162672,654.4212582130798,814.0902734227644,667.0551801327055,837.7352374363101,,,,,,,,,,,,,,
14.328063241106719,,,,,,,,,,1601.0980973345918,,,,,,,,1353.9167480384292,,,,
