frequency_hz,FP1-F7,F7-T3,FP2-F8,F8-T4,FP1-F3,F3-C3,FP2-F4,F4-C4,T3-T5,T5-O1,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,C3-P3,P3-O1,C4-P4,P4-O2
0.0,5688.201590104286,6336.451863249863,5517.9817033125855,6042.390556897281,5451.363387300826,7277.8703515925845,5127.559316375964,5956.062108044846,6959.97802958948,7433.3910521323705,6887.252889133495,7216.445264846426,7062.586747711048,6560.996623329786,7808.185183558559,7340.986446896547,7307.189016522292,6922.770792608497,7598.208082646111,7690.4467049394225,6655.089790640372,6892.935610385117
0.42662116040955633,,,,,,5633.415734420283,,6463.544158332982,6356.598349824345,6335.071884937778,7108.965010729855,6928.087701963277,6064.321269723752,5809.962386218521,5552.386756979011,5859.43175615386,6704.701321726784,6424.364781178679,5958.86580688653,5848.588891849463,6572.075988810029,6671.884764867495
0.4921259842519685,,,,,6657.815653807026,,6930.58037175319,,,,,,,,,,,,,,,
0.49800796812749004,6991.042281132146,6709.929517487129,7022.348364398256,6741.42575755556,,,,,,,,,,,,,,,,,,
0.8532423208191127,,,,,,4624.2264146658,,5631.474328493613,5367.472729030322,5009.687559922245,4822.733170723729,4725.02125052601,5079.877234093353,5357.1655854011005,4795.707473108422,4975.643178823467,5234.045438961524,4684.007000625918,4120.788918057194,4353.193975044341,5326.742461561124,4887.704064212605
0.984251968503937,,,,,5370.796235953151,,5607.928895992945,,,,,,,,,,,,,,,
0.9960159362549801,5010.499700807512,5370.463365034623,5758.007391929109,5633.523881944923,,,,,,,,,,,,,,,,,,
1.279863481228669,,,,,,4183.2596823095355,,5021.062263740335,3687.7599870833633,3958.356798947122,4059.339615226724,3885.6969430821305,4206.847137404157,4526.833621511833,3996.1028902235453,4833.053507034363,3762.355098589752,4500.464941608271,3584.2684168188216,3775.218895375052,4511.077138261098,3810.5574067459634
1.4763779527559056,,,,,4584.4452441569165,,4814.470333922365,,,,,,,,,,,,,,,
1.4940239043824701,4305.559281508502,4077.2682618218396,4436.655687602468,4153.903699024261,,,,,,,,,,,,,,,,,,
1.7064846416382253,,,,,,3228.517501637157,,4024.1830073059896,3400.404978462516,3060.641674976907,3520.909874575448,3457.9875940470592,3495.828080541774,3397.09354920671,3268.419518918513,3692.6454814549465,4018.341065882753,3558.2339586960347,3399.1110874078263,2982.4094603287244,3377.9140302213573,3042.729065460535
1.968503937007874,,,,,3590.2640984085633,,3602.6779548430777,,,,,,,,,,,,,,,
1.9920318725099602,3388.2434322165263,3658.4940848868946,3486.6674711496585,3798.8570975877137,,,,,,,,,,,,,,,,,,
2.1331058020477816,,,,,,3255.776132860114,,3742.6839023737793,3373.4261966712643,2623.930634950795,2519.5036240932855,2855.728535594631,2536.506773691048,3331.643464109971,2363.1705738636806,3325.9263672842108,3223.6656894356356,3374.8022178779256,2404.0723969267906,2915.747166613477,2902.850169172102,2290.204795178505
2.4606299212598426,,,,,3118.8364318831173,,3348.167914430508,,,,,,,,,,,,,,,
2.49003984063745,2794.487601484453,3004.1279687322512,3142.2561822957778,3260.2115432533747,,,,,,,,,,,,,,,,,,
2.559726962457338,,,,,,2745.155898614866,,3381.2743915382816,1974.3939896485379,2484.940272181343,2628.1155940747885,2303.62816863676,2138.3046481658557,2947.2057608279147,2587.8964926946073,2842.652084789389,2919.284802444143,3228.7702371511123,2160.104200553047,2513.327388055232,2452.7690150565,2424.9283151513014
2.952755905511811,,,,,2934.4616763519325,,3242.380191657192,,,,,,,,,,,,,,,
2.9863481228668944,,,,,,2312.3746082943994,,2905.561217843103,1993.0924716433776,1907.5248594434543,2234.667597182308,1978.560732524899,1892.0809130422292,2837.7916185020426,2007.173327118541,2350.756518942119,2353.3998540564667,2403.1641122539845,2002.8498532594815,2079.4854972863636,2239.77185358375,2129.47359857855
2.9880478087649402,2829.0597008788422,2774.8057149374017,2829.483744525692,2599.0599032444343,,,,,,,,,,,,,,,,,,
