frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,T4-A2,FP1-F3,F3-C3,P3-O1,FP2-F4,F4-C4,P4-O2,C3-CZ,CZ-C4,C4-T4,C3-P3,C4-P4
0.0,-7.306208060430619,-7.515684115216766,-6.486190485773441,-3.7836531544480883,-7.571214509231989,-7.596024868645898,-4.617860596644626,-4.931013320276235,-5.418670628384311,-5.279826927992503,-4.918162828542555,-7.612769654036094,-4.997069177677328,-5.524740477264713,-7.302642858137565,-6.141848576573896,-4.494405670766072,-4.7106671781720175,-6.189482163065582,-4.594478316327295,-5.6365162129265105,-5.040166369262427
0.49800796812749004,,-5.01720282989131,-4.386520627903969,-6.407551014388318,,,-5.784069726240288,-5.938327395502101,-4.975417934669012,-4.962096764312666,-4.942233361380359,-5.048806497795017,-5.592198526984808,-4.882146786540317,,,-4.923059310906836,-5.564224189039403,-4.482796594585245,-4.919393553579548,-5.139009142567415,-5.357877890252323
0.5,-4.950750813883114,,,,-4.608245447108239,-4.790702053128293,,,,,,,,,-4.945465211512429,-4.442530784569463,,,,,,
0.9960159362549801,,-8.424272549527856,-9.408485078208809,-11.080533531156307,,,-9.885173112287495,-10.428644477085717,-10.236645407172622,-9.877305987900133,-9.706408216393648,-8.285945094493059,-10.030992303706867,-10.353313043402789,,,-9.90258993241206,-8.96421864041721,-8.31788135923274,-8.81245076073834,-9.826670728205537,-9.738682133517965
1.0,-8.274412456682578,,,,-8.048221695234389,-8.191746205805057,,,,,,,,,-8.314411884141478,-8.465312001167714,,,,,,
1.4940239043824701,,-11.159865706011331,-12.272515389512591,-15.630230459914902,,,-13.138213277281467,-12.21846853284035,-12.699780068066667,-11.079160874390514,-12.25871608009714,-10.78144908393062,-13.485375138798618,-13.064027784096579,,,-11.43678367541071,-11.95421541210511,-11.69080879424401,-11.496148984897989,-12.131660698207865,-12.1692431843144
1.5,-10.702340480600006,,,,-10.547288648416638,-10.070009340827832,,,,,,,,,-10.631097181514072,-11.227010328709424,,,,,,
1.9920318725099602,,-13.271418695425345,-13.73407394819584,-17.146047343774608,,,-15.456646190073185,-16.041461544180176,-15.23852693218794,-14.03026773517692,-15.080347683401156,-12.959525017015855,-15.801499182600185,-15.506729418661067,,,-13.951382998736024,-14.613143170241212,-14.493595695788638,-14.294648657452859,-13.672220621179822,-14.941723724907517
2.0,-12.937991239678043,,,,-12.820268615848155,-11.919045508616383,,,,,,,,,-12.498138583685327,-13.598221564560493,,,,,,
2.49003984063745,,-14.751439409419685,-16.24467512563678,-17.921327651424175,,,-17.868253303740435,-18.282619806868,-17.33507707930304,-15.350747792626343,-17.550644911743284,-14.669800974830629,-17.260112493080065,-17.40288760269323,,,-16.70018734384569,-16.36176805666761,-16.868833621835734,-16.515270135138575,-16.623526315124913,-17.42544929371165
2.5,-14.57244492602237,,,,-14.209204676552371,-14.262584818170136,,,,,,,,,-13.993472236151254,-15.893815302357583,,,,,,
2.9880478087649402,,-16.77762337193003,-18.08900003014261,-20.06912571039179,,,-19.039387985853168,-19.661259868964905,-19.07973802930307,-17.125294647235656,-18.434078223027452,-15.713352479949778,-18.498356635138027,-19.47832595326584,,,-18.618096851960072,-17.38239442404031,-18.551406720555896,-17.29146691513374,-18.55397695702357,-18.2454693241556
3.0,-15.62182356122107,,,,-15.856328558603655,-15.708297675022246,,,,,,,,,-15.802144041287999,-17.00412957813928,,,,,,
3.4860557768924303,,-17.70436662342347,-19.70594464194586,-20.644796597556883,,,-21.218279578190568,-20.598719876394323,-21.344999408341057,-18.710686176044092,-20.631685955474442,-17.315536505604438,-19.99218579875923,-20.914193928526405,,,-19.21505731831818,-19.950273255798166,-18.935766436848816,-19.466724863597804,-19.63741857733863,-19.914640065227932
3.5,-17.2706989309168,,,,-17.053724607254914,-17.53310001560156,,,,,,,,,-16.751838206149532,-19.11300364145595,,,,,,
3.9840637450199203,,-19.675270819631773,-21.72362948134479,-23.598493961516827,,,-22.295582443987655,-20.57004930715566,-21.90105081543979,-20.042087166244176,-22.168687190510038,-18.226338819582292,-21.714753522149064,-22.948364452195076,,,-20.869015556306152,-20.433394416384505,-20.48705239846788,-21.353163791364558,-20.619303479514258,-20.77716178617414
4.0,-17.94533625754298,,,,-18.469712016867142,-18.458257470656037,,,,,,,,,-18.020818183151842,-19.696149216906527,,,,,,
4.482071713147411,,-20.022407793059926,-20.949082342439983,-23.12047218373027,,,-22.630176802055786,-22.04882410090599,-22.040482958929143,-21.06256848946558,-21.985707629905793,-19.50677590932615,-22.38390878853203,-23.10952691615354,,,-20.944237740043746,-21.6850092570741,-21.84320798397762,-21.660971585913334,-20.8603511923827,-21.909402099141357
4.5,-19.454343165737903,,,,-19.789782050533837,-19.54089674763952,,,,,,,,,-19.083455660812998,-20.323300569103324,,,,,,
4.9800796812749,,-21.351581647541263,-22.40516382920516,-24.89301311097489,,,-24.134288657664605,-23.048122471727226,-24.32615949933417,-21.522818100829458,-22.448962275939436,-21.075453408326595,-23.134528807866534,-23.41121336621642,,,-22.404825292826484,-21.511437904429137,-22.07736903523239,-22.208734319084837,-22.56406926520853,-22.31341415121459
5.0,-21.09119694101472,,,,-20.989191311701557,-20.119204129526583,,,,,,,,,-20.52187237202817,-21.916825327085512,,,,,,
5.47808764940239,,-21.95214712790879,-22.3167762283535,-25.146644836004608,,,-24.73207023319423,-23.69806221745603,-24.555161251623968,-22.604948712675604,-24.281663299693165,-21.693056240370197,-23.80673880901074,-24.94875267486807,,,-23.19333552604098,-21.874307249211455,-22.928037453137797,-23.174625955020147,-23.08289591343371,-23.199416865714248
5.5,-21.825256267551122,,,,-21.590167375194493,-21.011879414686927,,,,,,,,,-21.244982444277664,-22.511215230692773,,,,,,
5.9760956175298805,,-22.81360435494404,-23.234664329554874,-25.815487289240615,,,-25.436964994489355,-24.919622924978327,-25.482595770625988,-23.86242182398599,-24.764633066076513,-22.19314652829952,-24.355598976513193,-24.9123087119666,,,-24.20559327707356,-23.369666023766626,-24.67408474252267,-24.738128897119182,-23.589895264095954,-24.138335379308657
6.0,-22.487213840692384,,,,-22.315642096375527,-21.908729546185693,,,,,,,,,-22.016774176493044,-23.266033133397446,,,,,,
6.474103585657371,,-23.643367146410053,-24.13838205857736,-25.992091113436434,,,-26.31731745554973,-25.501612231724366,-26.27736731275598,-23.624772329213993,-25.8975574697506,-23.388917168178565,-25.93339973619142,-25.880674853401807,,,-25.071069092739776,-23.761628301119814,-25.440361834549442,-24.263455724100545,-24.365337693240743,-25.69801225951843
6.5,-23.43618503894681,,,,-23.122804226008686,-22.98899342349751,,,,,,,,,-23.04351489040015,-24.025253775970278,,,,,,
6.972111553784861,,-24.994391925634233,-25.023312700660103,-27.6646734455583,,,-27.162903121422815,-25.485608287331047,-27.565562496878623,-26.316574844266334,-26.59937177434064,-24.204693226038014,-26.792007098788556,-26.91900657159571,,,-25.054412284105595,-24.71930276826149,-25.86305481438533,-26.085843477778738,-25.79467445957703,-25.246785992701515
7.0,-23.81816213464923,,,,-23.730327939419013,-25.04305729076277,,,,,,,,,-23.460908333934643,-24.946361210587423,,,,,,
7.47011952191235,,-24.603605597801433,-24.863464045552217,-26.513863341329145,,,-26.96328140305363,-25.22160159146923,-26.280585215598066,-24.663308905044424,-26.349432546374743,-24.56950649770959,-26.60753578101758,-26.328547186810923,,,-24.21438487043433,-24.03072096718613,-25.514226212837773,-25.522078456397104,-25.90280471351957,-25.975806698162902
7.5,-24.749619350599353,,,,-24.797520890494077,-24.235174564172738,,,,,,,,,-24.314760982582847,-25.454495634605088,,,,,,
7.968127490039841,,-25.661503332853552,-26.109197022007304,-26.08042241553534,,,-27.20254869783223,-25.429287074080136,-27.361535330589664,-25.213902380388788,-26.220570094348258,-24.955193641485234,-27.59399454141371,-26.54228572639384,,,-25.601686144752055,-24.467001606422738,-26.91364340766056,-25.224418684348077,-26.28796278691458,-24.807658118284042
8.0,-25.002448398026388,,,,-24.713624324375537,-24.430914676951367,,,,,,,,,-24.758445551114647,-26.506216923273822,,,,,,
8.466135458167331,,-27.39670169773707,-26.22307848079505,-27.417044363041505,,,-28.231217329335664,-26.52474161487075,-27.39684713205244,-25.70411600489528,-26.621838335819387,-26.134128552393577,-28.09474922722537,-27.677814235367354,,,-25.509940390766097,-24.581690512215562,-26.317047258169502,-26.513405904226936,-26.226787974908852,-26.942769941201874
8.5,-25.722615978433968,,,,-25.830216978105188,-25.23357598243899,,,,,,,,,-25.79864853222954,-26.60887376015725,,,,,,
8.964143426294822,,-26.6469812719165,-25.922973329322915,-27.20477824366322,,,-27.99144002285139,-26.877752115743224,-27.770337891870494,-25.832732916074537,-28.39448789683468,-26.57939866044087,-29.320979959832403,-27.399224375339024,,,-26.29886909663402,-25.732780741872062,-27.02306134026156,-26.726380859982743,-26.95957281346575,-26.802044283071588
9.0,-26.716715209366452,,,,-26.662386570393586,-25.575290651125233,,,,,,,,,-26.24588018419345,-26.90495417830005,,,,,,
9.46215139442231,,-27.53674621988268,-27.063420668322355,-28.06884954875213,,,-28.1385839564433,-26.09274710368593,-28.138593317054642,-27.58387859429341,-28.43433019523607,-26.884322126325827,-30.166133152806225,-28.002970457650274,,,-26.056922499942658,-26.719163343325445,-27.67692769202085,-27.45543195005902,-27.04397328712126,-27.03368947308536
9.5,-26.726308868161006,,,,-26.94126808336805,-26.415045187264234,,,,,,,,,-26.768620003233835,-27.1067510309525,,,,,,
9.9601593625498,,-27.42611819596574,-28.217232348146876,-28.338308417772875,,,-28.311997574413354,-26.86330765468897,-28.44254253807158,-26.8525920272627,-27.15795903239588,-27.449657821481175,-29.96147971636747,-27.937359572081462,,,-26.526782769431545,-25.10425581324941,-26.921670851477028,-27.683748560617925,-27.93475755838878,-27.066964685101347
10.0,-27.260528961005612,,,,-27.562888080277432,-26.43178913560936,,,,,,,,,-27.045596688276607,-27.35877929686811,,,,,,
10.458167330677291,,-27.610012711439936,-26.8843227002441,-27.300420262616992,,,-28.960748250435064,-25.851401621341065,-27.840019407194088,-25.833816357044107,-27.7579801548319,-27.795086067525617,-30.254496242940853,-27.427023380502252,,,-25.954627765787613,-25.834594020206314,-26.433339084617128,-27.54457687238081,-27.866199682173864,-27.970547710148377
10.5,-28.11753100219751,,,,-28.09872625847027,-27.431672027689967,,,,,,,,,-27.42851116909309,-28.063487742820115,,,,,,
