frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,T4-A2,FP1-F3,F3-C3,P3-O1,FP2-F4,F4-C4,P4-O2,C3-CZ,CZ-C4,C4-T4,C3-P3,C4-P4
0.0,6253.912247790665,6223.139629435377,6746.773173193104,8016.620812485235,6058.977127586461,6101.342880289433,7453.304588141516,7016.073915143708,7168.96719602604,7096.321843409425,7231.03450559346,6254.028147219434,7380.427862479521,7177.64398155022,6176.835347705477,6688.645467531151,7249.71722963325,7042.884395597914,6616.012121874271,7358.186207718546,6970.822201370569,7184.888306449844
0.49800796812749004,,6761.847231964205,6930.988064324358,5739.143519650657,,,6276.9332971248505,6324.446119205944,6835.055076149968,6648.185431827795,6723.723578203052,6610.710228969328,6506.985233625489,6709.76062937489,,,6901.118913262652,6605.579974956097,7126.007902916664,6831.672823875223,6785.5824461465745,6631.680448566049
0.5,6605.234145313011,,,,6896.097867908091,6817.063271037658,,,,,,,,,6671.114063134696,7039.164422915399,,,,,,
0.9960159362549801,,4895.852069128524,4694.376051033411,3916.383809124934,,,4046.0892043031554,4198.572553724575,3951.7053409470323,4374.204640285131,4134.495782803174,4894.983987764024,4161.983499496916,4172.330601460011,,,4344.554302310001,4651.386213579841,4737.270861082109,4790.968726468412,4302.560257588757,4467.56482789478
1.0,4877.467620728575,,,,4957.075463003455,4943.912736634171,,,,,,,,,4869.5237129956495,4859.584691039994,,,,,,
1.4940239043824701,,3569.972218702034,3328.0961262817304,2362.634814489916,,,2924.1184635934674,3532.496140404048,3175.595012766098,3644.9890571122123,3401.912790386717,3905.8672474686064,2978.8753269715485,3087.4674494134842,,,3683.941846459258,3601.328239090302,3573.867145107864,3610.1681681534196,3289.153066519564,3684.4988654049866
1.5,3951.5962720470484,,,,3943.697580671835,4078.5366647373826,,,,,,,,,3948.9853583491035,3777.551026858913,,,,,,
1.9920318725099602,,3024.5142598632615,2905.2593901153605,2100.2445669828726,,,2302.4669054211313,2331.1864902933326,2500.6928351273223,2915.6371812225925,2557.4176620830676,3301.0213998145578,2471.619494447051,2402.8648622859996,,,2706.4381673815324,2900.0481635327023,2664.9624745194474,3059.230243672388,2962.8525993796366,2758.5620770170717
2.0,3351.442957339393,,,,3308.5671350856237,3461.0132003680988,,,,,,,,,3477.5115382010454,2987.6457129734176,,,,,,
2.49003984063745,,2652.5944734476725,2315.5372935902024,1988.112451466373,,,1980.525298904095,1955.433427917077,1951.2481945315253,2374.1918265026356,2028.4434061444165,2875.566941985992,2083.317102761388,1962.6095122209429,,,2020.6493332002556,2464.586752616481,2142.2384935558453,2122.8262186420197,2145.283487994175,2110.4168019464373
2.5,2827.833805914949,,,,2867.9614981488917,2734.89877162133,,,,,,,,,3047.1501684787845,2519.9854041461563,,,,,,
2.9880478087649402,,2258.8838679052287,1895.881716521973,1722.4756418872703,,,1761.2392395856689,1857.0601416077184,1749.8724853249437,2161.256429736008,1838.1678317626872,2590.266246148207,1901.1085413601254,1724.3531188537397,,,1921.8927235139204,2090.110978952665,1796.825360053149,2162.4954022792335,1911.4792356828777,1893.1984160731545
3.0,2663.869471102827,,,,2497.9679201488957,2406.40741671879,,,,,,,,,2585.5782338063477,2245.8697966410273,,,,,,
3.4860557768924303,,2035.9887321734122,1548.3214528504282,1550.5872510294698,,,1477.3452614879786,1619.4646272708326,1292.4315329616657,1746.9045726533727,1589.1816295683727,2345.6389939454157,1602.70300413772,1507.6759549181218,,,1625.1644305403615,1730.480877693169,1695.664353834343,1634.4866719649992,1500.709939335681,1475.5763389597955
3.5,2354.049314674162,,,,2406.5730803230717,2100.38469920693,,,,,,,,,2441.1469067024473,1892.3648677219626,,,,,,
3.9840637450199203,,1705.0610283219164,1361.0524513197406,1167.2741583412503,,,1265.9720673805884,1513.7161627110884,1213.3728509175903,1454.4607705171852,1183.3801416062024,2119.86656754841,1372.1779601237486,1216.4834260254324,,,1291.6450445350854,1501.007624679186,1547.5431262042553,1375.595571135105,1427.5289834231635,1608.3177558428351
4.0,2134.782796613747,,,,2101.507552303319,1808.6428501657767,,,,,,,,,2201.0164534599558,1719.5159214371033,,,,,,
