frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,T6-O2,A1-T3,C4-T4,T4-A2,FP1-F3,FP2-F4,F4-C4,C4-P4,F8-T4,T4-T6,T3-C3,CZ-C4,P4-O2,C3-CZ,F3-C3,C3-P3,P3-O1
0.0,-5.896770207946333,-6.444666778028773,-7.147419529520552,-6.229713654382584,-6.808780528802,-6.332605027374945,-6.584321488602967,-6.167146017855432,-6.366356432749357,-5.764894222827032,-5.213679413597549,-6.3524811953383,-5.653803224263733,-6.672927439058539,-6.121619781193886,-7.157813986484225,-5.926806395646751,-5.996313362209074,-6.752985251383893,-5.032965622294949,-5.974770689391531,-6.1112667426383895
0.49800796812749004,-5.79663422226304,-4.723963612163169,,,,,,,,-5.088263013399184,-5.790216549186,,,,,,-5.396343797527901,,,,-6.200680835397652,
0.5,,,-5.114522868514156,-5.69539570418626,-5.01573116410761,-5.575372047550392,-4.897674280916003,-5.157921882130426,-5.114108876636177,,,-4.635091542276309,-4.830897930853625,-4.902935135256947,-4.98164177998906,-5.124832688858378,,-5.152824506150369,-5.224006588909163,-5.566310987567656,,-5.253164185359307
0.9960159362549801,-9.535679516032166,-9.14669029685122,,,,,,,,-9.872550010613194,-10.422282619774498,,,,,,-9.133855990689238,,,,-10.290779663400057,
1.0,,,-8.578655154373456,-10.246508598188347,-9.099751437597648,-9.660019512679911,-8.968256212866725,-8.850624521822324,-9.292606211603081,,,-9.005833612519133,-9.009478901001186,-8.953580071036436,-8.985156863245814,-8.815165878131307,,-9.246877954619341,-8.975239828812256,-10.091853940258671,,-9.44304633926534
1.4940239043824701,-12.144015736685214,-11.603379892735946,,,,,,,,-12.852279913696075,-13.058301193362954,,,,,,-11.62005201888649,,,,-13.377540301497124,
1.5,,,-11.002221371069554,-12.759760727112742,-11.672837947396351,-12.654572016746474,-11.95173034637779,-11.443253582378784,-12.493525145749283,,,-12.199618773483397,-12.366733950704102,-12.401786751398548,-12.184375752494756,-11.222102843481606,,-12.32465929293688,-12.234152865682308,-12.751346289380919,,-12.16587302716079
1.9920318725099602,-14.715250742159956,-14.400526320260257,,,,,,,,-15.156022658904405,-15.436784239989924,,,,,,-14.26455485339632,,,,-15.829431616713697,
2.0,,,-13.133921150275702,-15.404091943773514,-14.439992009159486,-14.70197242225778,-13.74888812521585,-13.735366324501111,-15.362799209773659,,,-14.64905236764082,-14.835300406085693,-14.585249956624743,-14.086065088163668,-13.106079872013957,,-14.119230868233128,-14.449052386252593,-15.14655028472565,,-14.194519657159015
2.49003984063745,-16.536033333427167,-15.978988502824736,,,,,,,,-16.846210559695393,-17.082491773012173,,,,,,-15.60514945156265,,,,-16.86692656383747,
