frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,T6-O2,A1-T3,C4-T4,T4-A2,FP1-F3,FP2-F4,F4-C4,C4-P4,F8-T4,T4-T6,T3-C3,CZ-C4,P4-O2,C3-CZ,F3-C3,C3-P3,P3-O1
0.0,6936.658845293072,6626.54736738626,6339.8049995794245,6823.784099874908,6553.340080738081,6737.3349719353855,6587.6122476645505,6684.103196193802,6478.113637387216,6913.883877491551,7288.3822737502405,6574.207314018441,6841.256861671425,6465.14395693378,6645.155341068466,6212.153129883967,6768.160828279093,6786.314316894021,6443.526932717368,7262.134792151157,6799.35187674888,6569.383095705386
0.49800796812749004,6404.311222048154,6895.058866337394,,,,,,,,6673.639495392226,6329.662119848122,,,,,,6489.545398752896,,,,6191.537798600331,
0.5,,,6783.782743965423,6406.985752457729,6776.218095898114,6369.975054986008,6794.860025586638,6708.471476803026,6747.283129869449,,,6994.319011229606,6813.083752673828,6857.154149246302,6795.8437139652115,6713.178167312881,,6497.472825250475,6629.554189024449,6394.390191176443,,6657.1883367725495
0.9960159362549801,4434.574729933658,4498.311941483469,,,,,,,,4354.075166556899,4137.6484720054605,,,,,,4760.971096081939,,,,4205.253501468771,
1.0,,,4694.885562760764,4125.184013155119,4598.871460696089,4468.956264983542,4620.440353409771,4641.8139968521,4486.765155090008,,,4629.429720899826,4618.21506688755,4627.255162945422,4612.3455560675175,4666.80226846984,,4555.025405649405,4715.927433704864,4247.567072701892,,4576.899099942989
1.4940239043824701,3596.8742558599024,3642.150722870872,,,,,,,,3265.0797813700133,3161.0027109588773,,,,,,3710.287936268295,,,,3112.1519131766163,
1.5,,,3770.2898170520875,3338.163175476773,3624.828755709501,3422.1202809521346,3508.7552799226346,3618.4774789487706,3411.1135014983174,,,3425.4318066065957,3425.4986342247166,3387.004066127284,3378.4358175926814,3658.8085692086065,,3472.0038017201864,3452.8831836618797,3248.427320700626,,3485.726081541147
1.9920318725099602,2654.2314653519406,2744.5246056180654,,,,,,,,2588.85614644327,2597.396291215021,,,,,,2907.3486534158383,,,,2493.2787133405877,
2.0,,,3097.2536743697437,2627.1299674503007,2760.3589397052447,2779.1850168582678,2910.2602303516865,3003.5924916280355,2624.2993181879838,,,2731.7244910794066,2732.8016595441563,2790.5352988128416,2796.0717096256703,3108.85189549155,,2861.2979734816495,2701.2806173423933,2667.1280194551427,,2900.455650729959
2.49003984063745,2221.049557694452,2361.070912803976,,,,,,,,2185.8824747066037,2174.738717058673,,,,,,2522.421979048479,,,,2324.3781169950685,
