frequency_hz,FP1-F7,F7-T3,T3-T5,T5-O1,FP2-F8,F8-T4,T4-T6,T6-O2,A1-T3,T3-C3,C3-CZ,CZ-C4,C4-T4,T4-A2,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2
0.0,-9.106522947673806,-8.455068632729919,-6.591074495970382,-5.918908400954452,-8.716201049919,-8.731031811219653,-9.189763779652028,-8.13929618251059,-8.584799453796423,-7.617357875624715,-7.472466558229215,-7.975818255386633,-8.484570468634251,-7.668753982264783,-9.782885167624729,-7.117601248215308,-6.9635856233068605,-6.944083123731964,-9.581597190162466,-9.387755224162026,-6.1930979930519925,-6.172582864151402
0.5,-4.78948953312687,-5.169417296182494,-5.4605872653614265,-5.317997395734887,-4.947539575644275,-5.649009065066558,-5.488297506974264,-4.546237974280896,-5.949504853670119,-6.150435812247529,-5.9412268483681885,-6.607030434420613,-6.446376567636024,-5.232207644501623,-4.926340183248052,-6.38346140133337,-7.839006881739166,-5.771743812151674,-5.6852120241729,-6.533749813161285,-6.144096066575319,-5.581721604044156
1.0,-7.92787511234755,-7.550558111355502,-8.38789444024405,-9.500843377230124,-8.801507218228076,-6.812591607293293,-7.428244269621822,-9.4042023677904,-9.550766428302055,-8.396959450329193,-9.411098779238175,-8.7901794097885,-8.174577874839004,-8.057440224957624,-8.363969286200987,-8.77543421618621,-8.696930716398661,-9.4166463485244,-8.964472917768267,-8.716888916216021,-8.732724204943594,-10.520944517887617
1.5,-10.394670229670792,-11.079839034358292,-10.965734451825165,-12.721053314873362,-10.861934118595116,-9.534047969378658,-11.59382943367214,-13.032673204064734,-11.158826882078895,-10.867408392270697,-12.398386396328316,-10.541285470241494,-9.761751428209198,-10.273792873819914,-9.932601566208094,-11.910730778575108,-11.721848568137181,-11.782804482782518,-11.412053002701015,-10.888936713586801,-10.545081845990904,-12.552080415673576
2.0,-11.848248541204045,-11.722794172181331,-13.672324065406348,-14.634593304343843,-12.97446893359233,-11.279721854012331,-12.371699423133245,-15.01394337820061,-13.991642187287676,-13.341289774677518,-13.422979338429718,-12.08357278296177,-10.642228239783012,-11.980842977091601,-12.171966212478212,-13.83301693418758,-13.965891067212999,-13.466270628702235,-12.891491121068084,-12.98767201981635,-12.534455469915823,-14.617763163688329
2.5,-13.582066104125316,-13.43962204488256,-15.243305004886677,-15.739735668283192,-14.044384837323816,-12.740523785397105,-13.908499295029381,-16.4275331808813,-15.087907088655328,-13.942999773856453,-16.09954208985517,-13.359080409437771,-11.722636723451478,-14.862908392400755,-13.614133496840692,-14.721259743281284,-14.651557412512046,-14.675578733650436,-14.53943215869875,-14.072189821389685,-13.509542931415725,-16.068520379377116
3.0,-15.373116439452073,-14.435946134573616,-16.4014164041215,-16.72996893506544,-15.275373517586784,-13.85689909920264,-16.123396660567614,-18.385087990706285,-16.62173491753672,-15.241518388579257,-15.922924512644226,-14.538256087576597,-13.273198154721827,-15.492555921763323,-14.898782351635932,-15.525950448182988,-16.059971636769372,-16.9268325943077,-15.619037077501867,-15.613561216962264,-14.326876632740213,-17.28097600245645
3.5,-16.477964408578952,-16.65125771258257,-17.40305297537395,-17.653709985949988,-16.481352344083273,-15.410734741632838,-16.859184041081683,-19.72801084814171,-17.491548745055056,-15.53519977654035,-17.295784824246574,-14.632584387752566,-14.896825249777036,-16.320813093966603,-16.804554059195183,-17.0353517363287,-18.200296773129537,-17.42170709255687,-16.82036213009199,-16.10723585983064,-16.05738226802067,-18.664963052557667
4.0,-17.265971895452573,-17.672765094613872,-17.85660445192591,-19.415465274323985,-17.75015137378283,-16.917752440307883,-17.644653781844536,-21.53601345984298,-17.904928950957547,-17.251282819802928,-18.059281240275578,-16.280345153948193,-15.984821955941213,-17.899936200993178,-17.775519498209604,-18.32299401475003,-18.27908033026924,-19.31678783571895,-18.836510942359173,-17.459073409955696,-17.09821635612747,-20.091662165257457
4.5,-18.225982333498177,-19.192425602167614,-18.80727692264945,-20.1235002166006,-18.36577885378939,-18.31023641724053,-19.045584783483157,-22.410524467530777,-19.517301245213,-17.893357911965172,-19.354760796479326,-17.908754469070512,-16.882540285852922,-17.40470441404536,-18.276627013247282,-19.20094383718478,-19.08420374851834,-20.786157514085684,-18.565772070026952,-18.166984851335695,-18.40850791459191,-20.680538647764326
5.0,-19.44563701367433,-19.417348617377115,-19.205068927030577,-21.197931921814792,-18.836161361227,-18.78054151111726,-18.50998700227078,-22.779705128625857,-20.6027995798697,-18.27648010791322,-19.67853899594697,-17.15329005011971,-16.553077344777158,-18.739126731147,-19.8927121068994,-20.074985543119983,-20.89811839124435,-20.48951784583059,-18.537603961513806,-19.23017668774198,-18.467884257289935,-20.8445773915491
5.5,-19.82278147782267,-19.524262358529175,-20.165622759819342,-21.038501146340888,-20.406653698390496,-18.87509247929058,-20.06894818197429,-24.219007755872216,-21.271475500679944,-19.341580922815474,-19.78627649798394,-18.76183262487635,-18.48756514848932,-19.436691206726742,-19.55646644851701,-20.30945978824835,-20.823035714511754,-20.770705796996225,-19.986104413210033,-19.039403370934675,-18.805924672535134,-21.537592934891947
6.0,-20.707608329926614,-19.80682632672778,-21.42392266222458,-21.821739671462115,-20.440013870496358,-21.138770967653386,-21.080574989356602,-24.461218072478847,-21.790070000334648,-19.577527858964398,-20.11969060994449,-18.753810829728877,-18.240877328855515,-20.5429086717493,-20.720770370043663,-21.323797320027232,-21.574247313434345,-21.085569926650997,-21.35377942882082,-20.676105318395706,-19.284271061821148,-23.2282690553748
6.5,-20.7772966906402,-20.62127842252172,-21.75376202256612,-22.56523722472484,-21.493130733703026,-21.696041457841055,-20.881426974389573,-24.87379922761517,-22.770645060162682,-19.488727493732295,-20.70184855936768,-18.81958360259322,-18.363924943641955,-20.57075847402688,-20.97048788472514,-21.814883692084837,-21.41909082419812,-22.2866000552171,-21.608303519258545,-19.733152326590695,-20.054119469767702,-23.044553883548467
7.0,-22.12918722736321,-21.672341002201442,-21.350949535091026,-23.771511711289794,-22.413775663978374,-21.687590670967857,-22.043529873335366,-26.7191764009087,-23.90775632115705,-20.97660405959692,-21.27948253955597,-19.890353511101313,-19.230650616372575,-21.81117426946618,-22.375983816476186,-22.09243613493388,-22.54715133630176,-22.87950741797363,-22.335611733601628,-21.990560851216262,-21.35618897258948,-24.23124377358496
